pc_time,frame_index,frame_type,mode_num,mode_name,input_mv,input_v,battery_mv,battery_v,current_cA,current_a,mah,cell1_mv,cell1_v,cell2_mv,cell2_v,cell3_mv,cell3_v,cell4_mv,cell4_v,cell5_mv,cell5_v,cell6_mv,cell6_v,cell_delta_mv,cell_delta_v,temp_raw,temp_c,status,status_bin,unknown_value,unknown_value_bin,raw_line
14:03:29,1,$1,2,discharge,13287,13.287,16516,16.516,57,0.57,0,4127,4.127,4125,4.125,4129,4.129,4127,4.127,0,0.0,0,0.0,4,0.004,268,26.8,0,00000000,36,00100100,$1;2;;13287;16516;57;4127;4125;4129;4127;0;0;268;0;0;36
14:03:31,2,$1,2,discharge,13287,13.287,16449,16.449,123,1.23,0,4114,4.114,4111,4.111,4112,4.112,4112,4.112,0,0.0,0,0.0,3,0.003,265,26.5,0,00000000,25,00011001,$1;2;;13287;16449;123;4114;4111;4112;4112;0;0;265;0;0;25
14:03:33,3,$1,2,discharge,13287,13.287,16442,16.442,120,1.2,1,4112,4.112,4111,4.111,4111,4.111,4111,4.111,0,0.0,0,0.0,1,0.001,265,26.5,0,00000000,22,00010110,$1;2;;13287;16442;120;4112;4111;4111;4111;0;0;265;0;1;22
14:03:35,4,$1,2,discharge,13263,13.263,16435,16.435,119,1.19,2,4110,4.11,4107,4.107,4105,4.105,4105,4.105,0,0.0,0,0.0,5,0.005,263,26.3,0,00000000,22,00010110,$1;2;;13263;16435;119;4110;4107;4105;4105;0;0;263;0;2;22
14:03:37,5,$1,2,discharge,13295,13.295,16432,16.432,123,1.23,2,4110,4.11,4107,4.107,4109,4.109,4106,4.106,0,0.0,0,0.0,4,0.004,265,26.5,1,00000001,25,00011001,$1;2;;13295;16432;123;4110;4107;4109;4106;0;0;265;1;2;25
14:03:39,6,$1,2,discharge,13263,13.263,16426,16.426,122,1.22,3,4109,4.109,4107,4.107,4107,4.107,4106,4.106,0,0.0,0,0.0,3,0.003,265,26.5,0,00000000,18,00010010,$1;2;;13263;16426;122;4109;4107;4107;4106;0;0;265;0;3;18
14:03:41,7,$1,2,discharge,13263,13.263,16426,16.426,122,1.22,4,4109,4.109,4107,4.107,4105,4.105,4105,4.105,0,0.0,0,0.0,4,0.004,265,26.5,1,00000001,21,00010101,$1;2;;13263;16426;122;4109;4107;4105;4105;0;0;265;1;4;21
14:03:43,8,$1,2,discharge,13271,13.271,16426,16.426,121,1.21,4,4107,4.107,4105,4.105,4104,4.104,4103,4.103,0,0.0,0,0.0,4,0.004,265,26.5,0,00000000,31,00011111,$1;2;;13271;16426;121;4107;4105;4104;4103;0;0;265;0;4;31
14:03:45,9,$1,2,discharge,13271,13.271,16425,16.425,119,1.19,5,4107,4.107,4106,4.106,4105,4.105,4107,4.107,0,0.0,0,0.0,2,0.002,268,26.8,1,00000001,28,00011100,$1;2;;13271;16425;119;4107;4106;4105;4107;0;0;268;1;5;28
14:03:47,10,$1,2,discharge,13287,13.287,16422,16.422,118,1.18,6,4107,4.107,4105,4.105,4106,4.106,4107,4.107,0,0.0,0,0.0,2,0.002,268,26.8,0,00000000,17,00010001,$1;2;;13287;16422;118;4107;4105;4106;4107;0;0;268;0;6;17
14:03:49,11,$1,2,discharge,13287,13.287,16419,16.419,118,1.18,6,4107,4.107,4105,4.105,4106,4.106,4106,4.106,0,0.0,0,0.0,2,0.002,268,26.8,0,00000000,24,00011000,$1;2;;13287;16419;118;4107;4105;4106;4106;0;0;268;0;6;24
14:03:51,12,$1,2,discharge,13295,13.295,16419,16.419,119,1.19,7,4106,4.106,4105,4.105,4105,4.105,4106,4.106,0,0.0,0,0.0,1,0.001,268,26.8,1,00000001,24,00011000,$1;2;;13295;16419;119;4106;4105;4105;4106;0;0;268;1;7;24
14:03:53,13,$1,2,discharge,13295,13.295,16415,16.415,119,1.19,8,4105,4.105,4103,4.103,4101,4.101,4101,4.101,0,0.0,0,0.0,4,0.004,268,26.8,0,00000000,28,00011100,$1;2;;13295;16415;119;4105;4103;4101;4101;0;0;268;0;8;28
14:03:55,14,$1,2,discharge,13271,13.271,16413,16.413,119,1.19,8,4104,4.104,4103,4.103,4103,4.103,4101,4.101,0,0.0,0,0.0,3,0.003,268,26.8,0,00000000,19,00010011,$1;2;;13271;16413;119;4104;4103;4103;4101;0;0;268;0;8;19
14:03:57,15,$1,2,discharge,13295,13.295,16411,16.411,119,1.19,9,4105,4.105,4103,4.103,4105,4.105,4103,4.103,0,0.0,0,0.0,2,0.002,272,27.2,0,00000000,20,00010100,$1;2;;13295;16411;119;4105;4103;4105;4103;0;0;272;0;9;20
14:03:59,16,$1,2,discharge,13279,13.279,16411,16.411,120,1.2,10,4104,4.104,4103,4.103,4103,4.103,4103,4.103,0,0.0,0,0.0,1,0.001,272,27.2,0,00000000,35,00100011,$1;2;;13279;16411;120;4104;4103;4103;4103;0;0;272;0;10;35
14:04:01,17,$1,2,discharge,13271,13.271,16408,16.408,120,1.2,10,4104,4.104,4103,4.103,4101,4.101,4103,4.103,0,0.0,0,0.0,3,0.003,272,27.2,0,00000000,33,00100001,$1;2;;13271;16408;120;4104;4103;4101;4103;0;0;272;0;10;33
14:04:03,18,$1,2,discharge,13295,13.295,16406,16.406,120,1.2,11,4103,4.103,4101,4.101,4100,4.1,4099,4.099,0,0.0,0,0.0,4,0.004,275,27.5,1,00000001,36,00100100,$1;2;;13295;16406;120;4103;4101;4100;4099;0;0;275;1;11;36
14:04:05,19,$1,2,discharge,13279,13.279,16403,16.403,120,1.2,12,4103,4.103,4100,4.1,4100,4.1,4099,4.099,0,0.0,0,0.0,4,0.004,275,27.5,1,00000001,33,00100001,$1;2;;13279;16403;120;4103;4100;4100;4099;0;0;275;1;12;33
14:04:07,20,$1,2,discharge,13287,13.287,16402,16.402,120,1.2,12,4101,4.101,4100,4.1,4099,4.099,4098,4.098,0,0.0,0,0.0,3,0.003,280,28.0,1,00000001,41,00101001,$1;2;;13287;16402;120;4101;4100;4099;4098;0;0;280;1;12;41
14:04:09,21,$1,2,discharge,13295,13.295,16402,16.402,120,1.2,13,4103,4.103,4100,4.1,4100,4.1,4098,4.098,0,0.0,0,0.0,5,0.005,280,28.0,0,00000000,41,00101001,$1;2;;13295;16402;120;4103;4100;4100;4098;0;0;280;0;13;41
14:04:11,22,$1,2,discharge,13287,13.287,16399,16.399,120,1.2,14,4101,4.101,4100,4.1,4098,4.098,4099,4.099,0,0.0,0,0.0,3,0.003,282,28.2,1,00000001,40,00101000,$1;2;;13287;16399;120;4101;4100;4098;4099;0;0;282;1;14;40
14:04:13,23,$1,2,discharge,13279,13.279,16396,16.396,120,1.2,14,4101,4.101,4099,4.099,4099,4.099,4098,4.098,0,0.0,0,0.0,3,0.003,284,28.4,1,00000001,33,00100001,$1;2;;13279;16396;120;4101;4099;4099;4098;0;0;284;1;14;33
