timestamp,raw,pack_mv,cell1_mv,cell2_mv,cell3_mv,cell4_mv
00:37:35,$1;2;;13263;15684;6;3915;3911;3922;3917;0;0;287;1;0;31,15684,3915,3911,3922,3917
00:37:37,$1;2;;13247;15593;96;3894;3894;3913;3908;0;0;289;3;0;33,15593,3894,3894,3913,3908
00:37:39,$1;2;;13295;15584;100;3892;3892;3906;3897;0;0;289;0;0;22,15584,3892,3892,3906,3897
00:37:41,$1;2;;13295;15577;100;3892;3891;3905;3903;0;0;289;3;1;20,15577,3892,3891,3905,3903
00:37:43,$1;2;;13240;15570;100;3892;3891;3906;3903;0;0;287;3;2;21,15570,3892,3891,3906,3903
00:37:45,$1;2;;13295;15569;100;3891;3889;3905;3903;0;0;287;0;2;31,15569,3891,3889,3905,3903
00:37:47,$1;2;;13247;15565;100;3889;3889;3904;3893;0;0;289;3;3;16,15565,3889,3889,3904,3893
00:37:49,$1;2;;13279;15561;99;3891;3889;3898;3893;0;0;287;3;3;43,15561,3891,3889,3898,3893
00:37:51,$1;2;;13295;15556;99;3891;3889;3898;3902;0;0;287;3;4;35,15556,3891,3889,3898,3902
00:37:53,$1;2;;13263;15557;99;3888;3888;3903;3892;0;0;289;3;4;39,15557,3888,3888,3903,3892
00:37:55,$1;2;;13240;15555;100;3888;3887;3903;3898;0;0;289;0;5;18,15555,3888,3887,3903,3898
00:37:57,$1;2;;13295;15553;99;3888;3887;3894;3891;0;0;289;0;6;40,15553,3888,3887,3894,3891
00:37:59,$1;2;;13263;15547;99;3887;3886;3902;3889;0;0;289;0;6;45,15547,3887,3886,3902,3889
00:38:01,$1;2;;13240;15547;99;3887;3886;3893;3896;0;0;291;0;7;35,15547,3887,3886,3893,3896
00:38:03,$1;2;;13247;15554;99;3887;3886;3898;3896;0;0;294;0;7;40,15554,3887,3886,3898,3896
00:38:05,$1;2;;13295;15539;99;3887;3886;3892;3894;0;0;294;0;8;43,15539,3887,3886,3892,3894
00:38:07,$1;2;;13263;15539;99;3886;3886;3893;3897;0;0;296;0;8;35,15539,3886,3886,3893,3897
00:38:09,$1;2;;13240;15539;100;3886;3885;3892;3887;0;0;296;3;9;18,15539,3886,3885,3892,3887
00:38:11,$1;2;;13263;15539;99;3887;3885;3892;3894;0;0;294;0;10;24,15539,3887,3885,3892,3894
00:38:13,$1;2;;13255;15536;99;3887;3885;3898;3893;0;0;298;3;10;16,15536,3887,3885,3898,3893
00:38:15,$1;2;;13271;15531;99;3885;3883;3897;3886;0;0;301;0;11;29,15531,3885,3883,3897,3886
00:38:17,$1;2;;13295;15530;99;3886;3883;3891;3893;0;0;301;3;11;20,15530,3886,3883,3891,3893
00:38:19,$1;2;;13279;15530;99;3885;3883;3891;3887;0;0;303;0;12;18,15530,3885,3883,3891,3887
00:38:21,$1;2;;13240;15529;100;3883;3881;3888;3891;0;0;303;0;12;42,15529,3883,3881,3888,3891
00:38:23,$1;2;;13263;15527;100;3882;3881;3888;3891;0;0;303;0;13;37,15527,3882,3881,3888,3891
00:38:25,$1;2;;13271;15524;100;3883;3881;3888;3883;0;0;306;2;13;32,15524,3883,3881,3888,3883
00:38:27,$1;2;;13295;15523;100;3883;3881;3893;3883;0;0;306;3;14;33,15523,3883,3881,3893,3883
00:38:29,$1;2;;13240;15530;100;3883;3881;3894;3891;0;0;308;0;15;35,15530,3883,3881,3894,3891
00:38:31,$1;2;;13263;15518;100;3882;3880;3893;3883;0;0;308;0;15;44,15518,3882,3880,3893,3883
00:38:33,$1;2;;13271;15518;99;3881;3880;3886;3888;0;0;308;3;16;18,15518,3881,3880,3886,3888
00:38:35,$1;2;;13263;15516;100;3881;3880;3893;3888;0;0;310;0;16;32,15516,3881,3880,3893,3888
00:38:37,$1;2;;13271;15515;99;3882;3880;3893;3888;0;0;310;0;17;19,15515,3882,3880,3893,3888
00:38:39,$1;2;;13271;15516;100;3881;3878;3885;3882;0;0;308;0;17;33,15516,3881,3878,3885,3882
00:38:41,$1;2;;13255;15513;100;3881;3878;3886;3888;0;0;313;3;18;45,15513,3881,3878,3886,3888
00:38:43,$1;2;;13271;15511;99;3882;3880;3893;3882;0;0;315;0;18;23,15511,3882,3880,3893,3882
00:38:45,$1;2;;13255;15508;99;3880;3877;3891;3886;0;0;315;2;19;22,15508,3880,3877,3891,3886
00:38:48,$1;2;;13240;15508;100;3880;3878;3892;3887;0;0;317;0;20;36,15508,3880,3878,3892,3887
00:38:50,$1;2;;13271;15506;100;3878;3877;3883;3878;0;0;317;0;20;32,15506,3878,3877,3883,3878
00:38:52,$1;2;;13255;15508;99;3880;3877;3883;3880;0;0;317;3;21;27,15508,3880,3877,3883,3880
00:38:54,$1;2;;13271;15504;99;3878;3876;3883;3883;0;0;320;0;22;16,15504,3878,3876,3883,3883
00:38:57,$1;2;;13240;15503;100;3877;3876;3888;3883;0;0;320;0;22;32,15503,3877,3876,3888,3883
00:38:59,$1;2;;13271;15501;99;3877;3876;3882;3883;0;0;320;0;23;26,15501,3877,3876,3882,3883
00:39:01,$1;2;;13240;15501;99;3878;3875;3888;3883;0;0;322;3;23;31,15501,3878,3875,3888,3883
00:39:03,$1;2;;13271;15500;99;3877;3875;3888;3877;0;0;322;0;24;28,15500,3877,3875,3888,3877
00:39:06,$1;2;;13271;15498;100;3876;3875;3880;3883;0;0;322;0;25;46,15498,3876,3875,3880,3883
00:39:07,$1;2;;13255;15498;99;3877;3875;3882;3878;0;0;320;2;25;30,15498,3877,3875,3882,3878
00:39:09,$1;2;;13271;15495;99;3877;3875;3888;3878;0;0;322;0;26;28,15495,3877,3875,3888,3878
00:39:12,$1;2;;13255;15493;100;3876;3874;3887;3882;0;0;325;0;27;33,15493,3876,3874,3887,3882
00:39:14,$1;2;;13255;15501;98;3877;3876;3883;3878;0;0;327;3;27;24,15501,3877,3876,3883,3878
00:39:16,$1;2;;13240;15562;27;3892;3887;3896;3893;0;0;322;2;27;29,15562,3892,3887,3896,3893
