pc_time,frame_type,mode_num,mode_name,reserved,input_mv,input_v,battery_mv,battery_v,current_cA,current_a,cell1_mv,cell1_v,cell2_mv,cell2_v,cell3_mv,cell3_v,cell4_mv,cell4_v,cell5_mv,cell5_v,cell6_mv,cell6_v,temp_raw,temp_c,status,mah,time_s,cell_min_mv,cell_max_mv,cell_delta_mv,raw_line
11:06:38,$1,2,discharge,,14206,14.206,15681,15.681,6,0.06,3914,3.914,3911,3.911,3917,3.917,3914,3.914,0,0.0,0,0.0,213,21.3,0,0,22,3911,3917,6,$1;2;;14206;15681;6;3914;3911;3917;3914;0;0;213;0;0;22
11:06:40,$1,2,discharge,,14221,14.221,15609,15.609,71,0.71,3902,3.902,3899,3.899,3913,3.913,3905,3.905,0,0.0,0,0.0,216,21.6,0,0,36,3899,3913,14,$1;2;;14221;15609;71;3902;3899;3913;3905;0;0;216;0;0;36
11:06:42,$1,2,discharge,,14190,14.19,15584,15.584,99,0.99,3894,3.894,3892,3.892,3903,3.903,3898,3.898,0,0.0,0,0.0,216,21.6,1,0,45,3892,3903,11,$1;2;;14190;15584;99;3894;3892;3903;3898;0;0;216;1;0;45
11:06:44,$1,2,discharge,,14206,14.206,15577,15.577,100,1.0,3893,3.893,3891,3.891,3902,3.902,3898,3.898,0,0.0,0,0.0,213,21.3,1,1,29,3891,3902,11,$1;2;;14206;15577;100;3893;3891;3902;3898;0;0;213;1;1;29
11:06:46,$1,2,discharge,,14214,14.214,15570,15.57,100,1.0,3893,3.893,3891,3.891,3899,3.899,3898,3.898,0,0.0,0,0.0,216,21.6,1,1,31,3891,3899,8,$1;2;;14214;15570;100;3893;3891;3899;3898;0;0;216;1;1;31
11:06:48,$1,2,discharge,,14190,14.19,15564,15.564,100,1.0,3892,3.892,3889,3.889,3900,3.9,3893,3.893,0,0.0,0,0.0,216,21.6,1,2,20,3889,3900,11,$1;2;;14190;15564;100;3892;3889;3900;3893;0;0;216;1;2;20
11:06:50,$1,2,discharge,,14206,14.206,15564,15.564,100,1.0,3892,3.892,3888,3.888,3898,3.898,3894,3.894,0,0.0,0,0.0,216,21.6,1,3,31,3888,3898,10,$1;2;;14206;15564;100;3892;3888;3898;3894;0;0;216;1;3;31
11:06:52,$1,2,discharge,,14190,14.19,15561,15.561,100,1.0,3891,3.891,3887,3.887,3898,3.898,3893,3.893,0,0.0,0,0.0,218,21.8,1,3,19,3887,3898,11,$1;2;;14190;15561;100;3891;3887;3898;3893;0;0;218;1;3;19
11:06:54,$1,2,discharge,,14198,14.198,15559,15.559,99,0.99,3889,3.889,3887,3.887,3897,3.897,3893,3.893,0,0.0,0,0.0,218,21.8,0,4,33,3887,3897,10,$1;2;;14198;15559;99;3889;3887;3897;3893;0;0;218;0;4;33
11:06:56,$1,2,discharge,,14198,14.198,15557,15.557,99,0.99,3889,3.889,3886,3.886,3897,3.897,3892,3.892,0,0.0,0,0.0,216,21.6,1,4,32,3886,3897,11,$1;2;;14198;15557;99;3889;3886;3897;3892;0;0;216;1;4;32
